UserName,Password,URLPathID,Panno,ChooseCommunity,DealerName,Firstname,Lastname,ModelName,invoiceAmount,GrossAmount,ZipCodeNew,ZipCode,BFLZipCode,CompanyName,MaritalStatus,Address_Line_1,Address_Line_2,Address_Line_3,Area,Landmark,Gender,POI_Type,POI_No,POA_Type,POA_No,Process_Type,Credit_Program,SourcingSurrogateInfo1,SourcingSurrogateInfo2,SourcingSurrogateInfo3,Email,Designation,Qualification,Monthly_Income,Employment_Type,Residence_Type,Data_Entry_Status
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfCktIAF,FIPUS1906D,Dealer Community,MODERN ENTERPRISES # PURVA PLAZA,Dummycust,ETURF,EIM 41BW - ELANPRO-REFRIGERATOR Rs87500,87500,80000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfDXEIA3,FIPUS1906D,Dealer Community,NEXT CONNECTIONS,Dummycust,JMRDV,0027O/REGAL ODD COT/75X60/WENGE - KURLON-FURNITURE Rs20341,20341,20000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfD9LIAV,FIPUS1906D,Dealer Community,SURYA COMMUNICATIONS,Dummycust,PQSIX,LTV-4303 - YARA-LED Rs29900,29900,25500,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfAFCIA3,FIPUS1906D,Dealer Community,PARTH MOBILE,Dummycust,UTNUA,215 IMPRO ROY 5S INV COOL ILLUSIA 71566 - WHIRLPOOL-REF Rs18100,18100,18000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfDJ0IAN,FIPUS1906D,Dealer Community,DREAM SYSTEMS PVT LTD,Dummycust,ZQNET,EIM 41BW - ELANPRO-REFRIGERATOR Rs87500,87500,80000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfD94IAF,FIPUS1906D,Dealer Community,BHARTIYA ELECTRONICS,Dummycust,GUJTJ,0027O/REGAL ODD COT/75X60/WENGE - KURLON-FURNITURE Rs20341,20341,20000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JesdSIAR,FIPUS1906D,Dealer Community,JMD SYNERGIES PVT LTD # KOLKATA,Dummycust,FDBNB,LTV-4303 - YARA-LED Rs29900,29900,25500,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JesdYIAR,FIPUS1906D,Dealer Community,SHRI NAVELI,Dummycust,YBEPU,215 IMPRO ROY 5S INV COOL ILLUSIA 71566 - WHIRLPOOL-REF Rs18100,18100,18000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfD99IAF,FIPUS1906D,Dealer Community,ANUBHAV ENTERPRISES,Dummycust,DJSPL,EIM 41BW - ELANPRO-REFRIGERATOR Rs87500,87500,80000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JesdbIAB,FIPUS1906D,Dealer Community,GALAXY MOBILE SHOPEE AND COMPUTER ACC,Dummycust,IAVVR,0027O/REGAL ODD COT/75X60/WENGE - KURLON-FURNITURE Rs20341,20341,20000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfD9CIAV,FIPUS1906D,Dealer Community,MEENA ELECTRONICS,Dummycust,STWCS,LTV-4303 - YARA-LED Rs29900,29900,25500,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfDLLIA3,FIPUS1906D,Dealer Community,COOLING POINT,Dummycust,FSZCM,215 IMPRO ROY 5S INV COOL ILLUSIA 71566 - WHIRLPOOL-REF Rs18100,18100,18000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfC6WIAV,FIPUS1906D,Dealer Community,SPACE MOBILE COMMUNICATIONS # ALWAL,Dummycust,OWLEN,EIM 41BW - ELANPRO-REFRIGERATOR Rs87500,87500,80000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfClKIAV,FIPUS1906D,Dealer Community,MEGA MOBILE # BANGALORE,Dummycust,TIQVJ,0027O/REGAL ODD COT/75X60/WENGE - KURLON-FURNITURE Rs20341,20341,20000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfD9NIAV,FIPUS1906D,Dealer Community,TOP COLLECTION # ANDHERI WEST,Dummycust,QZIST,LTV-4303 - YARA-LED Rs29900,29900,25500,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfClNIAV,FIPUS1906D,Dealer Community,SHAW TELECOM # BEHALA,Dummycust,KYTEM,215 IMPRO ROY 5S INV COOL ILLUSIA 71566 - WHIRLPOOL-REF Rs18100,18100,18000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfClQIAV,FIPUS1906D,Dealer Community,MOBILE CAFE # KOLKATA,Dummycust,INGHM,EIM 41BW - ELANPRO-REFRIGERATOR Rs87500,87500,80000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfDLXIA3,FIPUS1906D,Dealer Community,ROSHNI MOBILES,Dummycust,UDYVU,0027O/REGAL ODD COT/75X60/WENGE - KURLON-FURNITURE Rs20341,20341,20000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfC6iIAF,FIPUS1906D,Dealer Community,NEELKANTH ENTERPRISES # KURUKSHETRA,Dummycust,DFRPS,LTV-4303 - YARA-LED Rs29900,29900,25500,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfCwZIAV,FIPUS1906D,Dealer Community,R G CELLULARS PRIVATE LIMITED # KOLKATA,Dummycust,XMJGL,215 IMPRO ROY 5S INV COOL ILLUSIA 71566 - WHIRLPOOL-REF Rs18100,18100,18000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfD9TIAV,FIPUS1906D,Dealer Community,ROYAL COMMUNICATIONS # ALWAL,Dummycust,MRWIN,EIM 41BW - ELANPRO-REFRIGERATOR Rs87500,87500,80000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfDa2IAF,FIPUS1906D,Dealer Community,BROWN'S ENGG # SALEM,Dummycust,WGMNB,0027O/REGAL ODD COT/75X60/WENGE - KURLON-FURNITURE Rs20341,20341,20000,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfDZrIAN,FIPUS1906D,Dealer Community,3 G COMMUNICATION,Dummycust,EEMMT,LTV-4303 - YARA-LED Rs29900,29900,25500,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
