UserName,Password,URLPathID,Panno,ChooseCommunity,DealerName,Firstname,Lastname,ModelName,invoiceAmount,GrossAmount,ZipCodeNew,ZipCode,BFLZipCode,CompanyName,MaritalStatus,Address_Line_1,Address_Line_2,Address_Line_3,Area,Landmark,Gender,POI_Type,POI_No,POA_Type,POA_No,Process_Type,Credit_Program,SourcingSurrogateInfo1,SourcingSurrogateInfo2,SourcingSurrogateInfo3,Email,Designation,Qualification,Monthly_Income,Employment_Type,Residence_Type,Data_Entry_Status
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfCktIAF,FIPUS1906D,Dealer Community,MODERN ENTERPRISES # PURVA PLAZA,Dummycust,ZHMAG,LTV-4303 - YARA-LED Rs29948,14890,14890,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfDXEIA3,FIPUS1906D,Dealer Community,NEXT CONNECTIONS,Dummycust,KGJTQ,263 IMPRO ROY 5S INV COOL ILLUSIA 71566 - WHIRLPOOL-REF Rs1810,14890,14890,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfD9LIAV,FIPUS1906D,Dealer Community,SURYA COMMUNICATIONS,Dummycust,HOKKK,EIM 41BW - ELANPRO-REFRIGERATOR Rs87549,14890,14890,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfAFCIA3,FIPUS1906D,Dealer Community,PARTH MOBILE,Dummycust,LTCZZ,0027O/REGAL ODD COT/75X60/WENGE - KURLON-FURNITURE Rs20390,14890,14890,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfDJ0IAN,FIPUS1906D,Dealer Community,DREAM SYSTEMS PVT LTD,Dummycust,FTZRN,LTV-4303 - YARA-LED Rs29949,14890,14890,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
tanzil.raushan@bajajfinserv.in.n2ppos,Bajaj@123,003Bg00000JfD94IAF,FIPUS1906D,Dealer Community,BHARTIYA ELECTRONICS,Dummycust,ORMHU,264 IMPRO ROY 5S INV COOL ILLUSIA 71566 - WHIRLPOOL-REF Rs1810,14890,14890,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
ranjit.mhetre1@bajajfinserv.in.n2ppos,Stark@1996,003Bg00000JesdSIAR,FIPUS1906D,Dealer Community,JMD SYNERGIES PVT LTD # KOLKATA,Dummycust,ACRCT,EIM 41BW - ELANPRO-REFRIGERATOR Rs87550,14890,14890,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
ranjit.mhetre1@bajajfinserv.in.n2ppos,Stark@1996,003Bg00000JesdYIAR,FIPUS1906D,Dealer Community,SHRI NAVELI,Dummycust,QIARB,0027O/REGAL ODD COT/75X60/WENGE - KURLON-FURNITURE Rs20391,14890,14890,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
ranjit.mhetre1@bajajfinserv.in.n2ppos,Stark@1996,003Bg00000JfD99IAF,FIPUS1906D,Dealer Community,ANUBHAV ENTERPRISES,Dummycust,JFWVC,LTV-4303 - YARA-LED Rs29950,14890,14890,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
ranjit.mhetre1@bajajfinserv.in.n2ppos,Stark@1996,003Bg00000JesdbIAB,FIPUS1906D,Dealer Community,GALAXY MOBILE SHOPEE AND COMPUTER ACC,Dummycust,PAAUB,265 IMPRO ROY 5S INV COOL ILLUSIA 71566 - WHIRLPOOL-REF Rs1810,14890,14890,411014,411014 PUNE,411014-PUNE,Teamlease,Married,Pune,PunePune,PunePunePune,Hadapsar,NEAR,Male,Aadhaar,NA,Aadhaar,1234,Direct,1.02 [Direct],,,Net Banking,Test@gmail.com,Vice President,MBBS/ Doctor,Rs 15000-25000,Salaried,Self Owned,Completed
